word,score
horrible,3.6796008
disgusting,3.4936825
moron,3.4696771
bastard,3.3992381
stupid,3.3238818
bitch,3.2622911
scumbag,3.1949177
stupid,3.1918846
horrible,3.1827809
ass,3.0799801
idiot,3.0301171
bastard,2.9925045
slut,2.9309319
vile,2.8624451
redneck,2.8006986
filth,2.7742084
cretin,2.7070032
sadist,2.6944803
crap,2.6591225
sociopath,2.6348441
arent,2.5915894
stink,2.5817116
revolting,2.5617979
rotten,2.5617882
bigot,2.5544108
bitch,2.5479306
brat,2.5388335
scum,2.5280096
crappy,2.5225451
stinky,2.5190451
rubbish,2.4968679
fuck,2.4959138
slut,2.4950545
liar,2.4938713
filthy,2.4713835
nerd,2.4511875
hypocrite,2.4136389
nutcase,2.401145
whore,2.3926588
stinking,2.3922521
lout,2.3866137
stink,2.386318
wanker,2.3574416
crap,2.3467714
rubbish,2.3389343
dolt,2.3368959
hideous,2.3248801
shit,2.3208947
lunatic,2.3147081
pest,2.3117798
snot,2.3059359
egomaniac,2.3009798
perverted,2.2945354
crap,2.2912594
twat,2.2811641
fart,2.2765787
cunt,2.2763675
bugger,2.2715692
dumbass,2.2690002
commie,2.2671629
wretch,2.2579331
psychopath,2.2549929
despicable,2.2427071
fuck,2.2390389
piss,2.23226
pathetic,2.2298695
vermin,2.2237203
buffoon,2.2117196
lowlife,2.2101649
schmuck,2.2044661
hateful,2.203023
fag,2.1958758
slimy,2.1945775
sadistic,2.1791394
sux,2.1702603
horrid,2.1578153
crackpot,2.1482269
lousy,2.1455968
weird,2.1407319
chav,2.1260895
rubbish,2.1084307
scruffy,2.1043671
sexist,2.1041722
revolting,2.0877126
fucking,2.0841984
heartless,2.0813087
prank,2.0789004
twerp,2.0703899
loony,2.0660404
inbred,2.0562485
phony,2.0558828
faggot,2.0539746
git,2.0528487
nitwit,2.0520718
bugger,2.051638
dimwit,2.0405327
prank,2.0263975
shit,2.0257835
weird,2.0213697
tyrant,2.0124076
stinking,2.0073536
wack,2.007067
pussy,1.9963551
arse,1.9962293
geezer,1.9934449
nigger,1.9878153
inhuman,1.9785859
malicious,1.9696563
badass,1.9684681
selfish,1.9671554
moronic,1.9668102
fart,1.9660311
snide,1.9587149
putrid,1.9584194
lewd,1.9572129
weird,1.9487232
hater,1.9380459
arrogant,1.9367388
snot,1.9340294
hoe,1.9338633
damn,1.9290181
scum,1.9286376
retard,1.9264918
sickening,1.915752
jerk,1.9156719
piss,1.9022543
smelly,1.8931803
imbecile,1.8917299
underhanded,1.8898532
lunatic,1.8776539
bimbo,1.8742239
twat,1.8617624
madman,1.8608014
lame,1.860767
whiner,1.8597339
idiotic,1.8591878
sucky,1.8478422
sod,1.8383844
depraved,1.8356946
uncaring,1.8309263
abomination,1.8307493
shit,1.827128
fucking,1.821373
ho,1.8184672
untalented,1.8168035
bald,1.8154459
asshole,1.8134938
scoundrel,1.8109905
cruel,1.8040925
skank,1.7961785
loony,1.7897744
misogynist,1.7890749
tyrant,1.7876052
homicidal,1.7833535
kook,1.7796393
spiteful,1.7782555
deceitful,1.7703147
dishonest,1.7645787
brutish,1.7580709
druggie,1.7568851
phony,1.7547889
freaky,1.7525911
insulting,1.7447221
cruel,1.7392239
crackpot,1.73676
blowhard,1.7299235
pervert,1.7274114
miserable,1.726994
molester,1.7238002
bigoted,1.7224407
conniving,1.7217891
hillbilly,1.7206828
deviant,1.7084962
sexist,1.7079654
pansy,1.7071941
louse,1.7061231
snivel,1.7000231
guido,1.6947515
oaf,1.6936829
incompetent,1.6904732
lame,1.6871479
silly,1.6854519
manipulative,1.6806361
scam,1.6772025
dumb,1.676346
bitchy,1.6712231
shameful,1.6668081
whore,1.6661232
greedy,1.6657238
wank,1.6644837
fucker,1.6477917
crackhead,1.6462461
wack,1.6453892
ninny,1.6418774
dreadful,1.6401798
yokel,1.6389739
mindless,1.638497
coward,1.6346885
scheming,1.6334595
dumb,1.6313618
cowardly,1.6203492
thug,1.6196428
pedophile,1.6189831
wacko,1.614626
murderer,1.6137534
fiend,1.6129031
lame,1.6112699
leering,1.6085436
reprehensible,1.6060209
cock,1.6022577
stig,1.6018618
loudmouth,1.5978121
detestable,1.5969452
inbred,1.5958572
gook,1.5958279
monger,1.5946189
slacker,1.5916191
wannabe,1.5842574
smug,1.5826001
disreputable,1.5754716
cheater,1.5752166
slimeball,1.5725647
rude,1.5698112
shoddy,1.5690714
spaz,1.5679818
fuckwit,1.5675247
egotistical,1.5649181
sod,1.5530363
raving,1.5525688
booger,1.5511547
fornicator,1.547143
simpleton,1.5454766
boorish,1.5453454
sneaky,1.5449713
pinko,1.5446624
conceited,1.5420053
sycophant,1.5417084
monster,1.5381155
ned,1.5374401
traitor,1.5356002
dyke,1.5295969
hypocritical,1.5291659
nosy,1.5242168
downright,1.5197656
womanizer,1.5182053
cheating,1.5170781
beastly,1.5140092
nerdy,1.506893
shameless,1.5067042
sickening,1.4999678
spineless,1.4975878
inconsiderate,1.4967825
tranny,1.4961178
narcissist,1.4945912
shite,1.4929243
ignorant,1.491722
troll,1.4910138
vindictive,1.4904019
ogre,1.4902762
wimp,1.4902423
fanboy,1.487231
snooty,1.48693
drivel,1.4854289
masochist,1.4839435
silly,1.4807778
awful,1.4803267
wee,1.4781653
sleazy,1.4775032
maggot,1.4758197
abominable,1.4711532
dastardly,1.4705107
sneering,1.4688103
brainless,1.4656709
drunkard,1.4613145
wastrel,1.4604178
sod,1.4603213
domineering,1.455828
naff,1.4557827
midget,1.4513935
horny,1.4513086
huckster,1.4492561
airhead,1.4491845
lazy,1.4476293
wicked,1.4458082
lecher,1.4437111
snotty,1.4396976
motherfucker,1.4327973
torturer,1.4318367
charlatan,1.4298135
fornication,1.4268884
atrocity,1.4244816
incompetent,1.4197153
despot,1.4184992
badass,1.415684
bollock,1.4136731
bullcrap,1.4111021
blackmailer,1.4036779
repulsive,1.4023207
derogatory,1.4014892
manky,1.4004983
bully,1.3960914
slapping,1.3915336
lucre,1.3902694
raving,1.3899606
lecherous,1.3894828
ungrateful,1.389085
nincompoop,1.388282
crummy,1.3855749
septic,1.3852213
heinous,1.3845093
macho,1.3810295
perpetrate,1.3777857
pikey,1.3759731
snide,1.3703401
monstrosity,1.3696812
lazy,1.3691806
hunky,1.3681329
wigger,1.3678485
disgraceful,1.3663436
worthless,1.3639844
tasteless,1.3620679
sycophant,1.3616302
deadbeat,1.3591449
brute,1.3574666
coon,1.356032
scummy,1.3552398
arsehole,1.3546485
drunken,1.3538542
shitty,1.3536545
homophobe,1.3533257
subhuman,1.3517722
butchery,1.3483626
prig,1.3470124
cocky,1.3395004
imbecile,1.3392496
nutter,1.3367744
unprofessional,1.3334021
deviant,1.3323787
sheeple,1.3322148
windbag,1.3315676
immoral,1.330236
demented,1.3287472
retard,1.3270773
bullying,1.3216621
wee,1.3205517
callous,1.3204259
sadism,1.3188022
bullshit,1.3182619
ridiculous,1.3176143
dickhead,1.3173068
humbug,1.3150215
obnoxious,1.3105437
daft,1.3097051
slaver,1.3084225
injun,1.3065341
disrespectful,1.3047332
wacko,1.3029483
layabout,1.3022317
bollocks,1.3002303
mutt,1.2988526
bossy,1.2959782
egomaniacal,1.2951845
shoddy,1.293245
loathsome,1.2927032
stoopid,1.2873068
smarmy,1.2871964
doos,1.2809287
toady,1.2795319
crazed,1.2770195
schemer,1.2766574
manipulative,1.2751735
glutton,1.2727959
wee,1.2726886
pillock,1.2712102
boring,1.2699896
snob,1.2662072
dishonorable,1.2652489
brainiac,1.2628779
certifiable,1.2617338
bollock,1.2613501
dullard,1.2585194
cunning,1.2504953
spew,1.2494902
freak,1.2488937
quisling,1.2484378
devilish,1.2474929
sham,1.2443662
workaholic,1.2426425
incest,1.242539
weakling,1.2415131
honky,1.2412789
murderous,1.2411951
pompous,1.2411468
savage,1.2398523
shiz,1.2355792
harridan,1.2344701
whiny,1.2326762
butthead,1.2308588
gina,1.2284018
heathen,1.2263983
bullshit,1.2233702
cheating,1.2226239
coward,1.221767
jerk,1.2195181
dreadful,1.2183924
grouch,1.2183136
inhumane,1.2148607
underhanded,1.2141858
jealous,1.2121683
prig,1.2108499
lying,1.2105311
lecher,1.2103262
contemptible,1.2097694
pogue,1.2064813
scary,1.2051233
naughty,1.2047538
faker,1.2040209
scissor,1.2018849
screwy,1.2000025
senseless,1.1990277
claptrap,1.1911543
bullshit,1.1908142
ruffian,1.1883231
venal,1.1882853
grump,1.1874539
minger,1.1866049
monster,1.1853894
puppet,1.1846371
sloth,1.1788639
hoax,1.1761953
barbaric,1.176133
goof,1.1757136
brag,1.1743184
sissy,1.1741041
deadbeat,1.1735321
shite,1.1721442
deluded,1.171019
traitor,1.1685812
jerkass,1.1674187
shite,1.1659347
witless,1.1636021
icky,1.1629198
bungling,1.1626431
chinky,1.1612693
ignoramus,1.1604343
psycho,1.1596359
grindcore,1.1587567
underneath,1.1562828
unworthy,1.1548708
mallcore,1.1540199
thoughtless,1.1532687
macho,1.1525137
insulting,1.1505991
traitor,1.1496204
miscreant,1.1486572
unfeeling,1.1474598
felon,1.1468932
miscreant,1.1454935
eejit,1.1452161
misanthrope,1.1435511
womanize,1.1416858
heretic,1.1371117
petulant,1.1356337
drivel,1.1355453
irresponsible,1.1336804
dope,1.1336123
diabolical,1.1319834
deranged,1.1307118
craven,1.1259033
cussing,1.1238734
unclean,1.1233733
cunning,1.1202434
numpty,1.1180827
wankery,1.1163822
ornery,1.1157663
hogwash,1.1107927
wank,1.1072139
stupidity,1.1056034
gossip,1.104953
bald,1.1047696
soulless,1.0978933
crapfest,1.0953743
profiteer,1.0935808
dishonesty,1.0929644
debauchery,1.0920113
tard,1.0918849
monster,1.0907508
insane,1.089709
mot,1.0866596
rancid,1.0824934
quackery,1.0781932
devious,1.0780957
voodoo,1.0778491
ghastly,1.0766453
saddo,1.0760502
bestial,1.0734359
warmonger,1.0689118
shiftless,1.0664129
deceiving,1.0637693
shithole,1.062124
buttcrack,1.0607477
wicked,1.0602891
pitiful,1.0600429
inane,1.0599051
shabby,1.054527
tacky,1.0542239
slanderer,1.0523376
prattle,1.0518756
childish,1.0508679
mendacious,1.049938
shithouse,1.0492055
bumble,1.04882
haughty,1.0484657
maniacal,1.04734
grouch,1.0472204
sociopathic,1.0449002
amoral,1.0442074
spic,1.0438231
fetid,1.0436645
stench,1.0432491
nutso,1.0408838
demeaning,1.0378136
wanksta,1.0357065
vag,1.0342995
crafty,1.0308954
hog,1.0306166
blooded,1.0295426
gomer,1.0272669
odious,1.0271484
ingrate,1.0269374
meth,1.021646
godless,1.020782
useless,1.0201158
usurper,1.0198568
grump,1.0186681
mockery,1.0172697
slander,1.0157164
wimp,1.0130191
dirtball,1.0123229
hocus,1.0122927
gyp,1.0102238
boring,1.0070935
cranky,1.0041231
wretched,1.0012458
stench,1.0008122
ignorant,1.0007477
cheat,1.000733
infidel,1.0007228
pretentious,1.0007099
savage,1.0006902
greed,1.0006466
vulgar,1.0005534
gossip,1.0005473
twink,1.0005108
hustler,1.000501
nefarious,1.0004996
tart,1.0004469
incompetence,1.0004252
seedy,1.0004184
wop,1.0004138
inhumanity,1.0003914
blasphemy,1.0003898
div,1.0003739
zealot,1.0003258
cracker,1.0001127
shady,1.0000462
bloodthirsty,1.0
ginger,0.99984204
dummy,0.99978806
abusive,0.99978604
prick,0.99978521
obscene,0.99972297
mook,0.99971044
sucker,0.99970684
reprehensible,0.99967207
miser,0.99966227
arrogance,0.99962435
ugliness,0.99960588
idiocy,0.99954255
raghead,0.99952609
shyster,0.99950537
braggart,0.99947894
boner,0.99943297
dago,0.99941781
crass,0.99940833
meeja,0.99917579
cruelty,0.99899831
delinquent,0.9981394
badness,0.99785335
spaz,0.9951664
bully,0.99507832
whoremonger,0.99003655
sneer,0.98971266
evildoer,0.98654976
fucktard,0.98596427
hooligan,0.98545504
humbug,0.98433134
gobshite,0.9832637
bummer,0.98258352
brag,0.97925755
sordid,0.97775481
detest,0.97770615
cheesy,0.97715432
hack,0.97290137
wog,0.97118361
sloppy,0.97069622
hick,0.97030326
minion,0.96862842
reprobate,0.9663361
bogan,0.96503692
ungodly,0.96363913
troll,0.96195856
domineering,0.96081435
degrading,0.96079982
boastful,0.96058681
hoax,0.95983932
flid,0.95703589
ruffian,0.956614
egotist,0.956542
troublemaking,0.95475559
hairy,0.95076493
insufferable,0.94990419
blacky,0.9498583
greaseball,0.94744296
dag,0.94364624
craven,0.941927
jobsworth,0.9416749
suck,0.94000356
traitorous,0.93893863
kike,0.93723765
gluttonous,0.93672604
ruffian,0.93645617
nutty,0.93446831
gibberish,0.93391676
blasphemer,0.9320018
slanderous,0.9315521
curmudgeon,0.93123798
pisshead,0.92918631
tubby,0.9289826
killjoy,0.92853493
shredding,0.92835257
whorehouse,0.92797655
dipshit,0.9278
connive,0.92588083
fanboy,0.92302456
wazzock,0.92282228
squid,0.92093448
vomit,0.91862368
knobhead,0.91800415
narcissistic,0.9165536
wimpy,0.91636541
bully,0.91489977
unethical,0.91462512
wanton,0.91394955
dope,0.91365729
twisted,0.91095499
undead,0.91091928
sanctimonious,0.90919629
spick,0.90854553
immorality,0.90770044
were,0.90759902
utter,0.90691016
craven,0.90609247
shitbag,0.90428654
dopey,0.90314614
skimpy,0.89978658
naysayer,0.89978208
cynic,0.89929884
tyrannical,0.89834574
pendejo,0.89686767
sacrilege,0.89591519
slaver,0.89573074
clem,0.89432448
prattle,0.89313548
foolish,0.89230264
jagoff,0.89160098
plagiarism,0.89153798
gory,0.89051546
shithead,0.89034192
kinky,0.88995319
smut,0.88947178
cuckold,0.88735468
uncultured,0.88612938
feckless,0.88428081
tramp,0.88383397
asshat,0.88249038
glutton,0.88200174
slimebag,0.88158179
doddering,0.88146894
slovenly,0.87851423
decadent,0.87845702
himbo,0.87715367
complainer,0.87682161
indecent,0.87674832
brag,0.87668129
arseface,0.87609257
shitload,0.8757106
betrayer,0.87544624
pervert,0.87480553
numbnuts,0.87369322
smackhead,0.87271043
malevolent,0.87267353
sham,0.87192521
nonsense,0.87181878
travesty,0.87030873
reek,0.86879287
bimbette,0.86784936
coddle,0.86734501
bampot,0.86607329
reek,0.86604826
spank,0.86550979
disreputable,0.86542229
petty,0.86499842
freak,0.86456611
mope,0.86439996
leer,0.86410879
milquetoast,0.86354963
trucker,0.86333629
gutless,0.86254275
ruthless,0.86243172
pikey,0.86204452
unspeakable,0.86200621
bratty,0.86130289
horrendous,0.85930797
assclown,0.85759939
lascivious,0.85573514
muppet,0.85490587
negress,0.8521835
yid,0.85172541
brute,0.85086414
clod,0.85025523
hokey,0.84987924
delinquent,0.84926546
spew,0.84654809
homewrecker,0.84560352
ditzy,0.84507779
rudeness,0.84390825
creepo,0.84273528
adultery,0.83809572
weakling,0.83782094
yutz,0.83505517
derogatory,0.83495128
dowdy,0.8342264
twunt,0.8337055
quim,0.83326505
barbarity,0.83168417
impertinent,0.83128123
puta,0.83087808
vainglorious,0.83080363
incorrigible,0.82846546
backbiting,0.8283103
twaddle,0.8281349
cheeky,0.82641822
sissy,0.82582692
glowering,0.8255463
cruddy,0.82534251
catty,0.82496345
poontang,0.82350824
smeghead,0.82307782
dogshit,0.82185191
schlong,0.82112832
weeb,0.82082106
avarice,0.81987103
gino,0.81512828
wart,0.81482631
nitpicking,0.81455741
bogus,0.81428325
evilness,0.81329199
gyp,0.81232452
demean,0.81226114
naught,0.81180512
scumbucket,0.81011947
coolie,0.80946709
disgrace,0.80881593
cholo,0.80858151
hurtful,0.80836521
horseshit,0.80715121
niggy,0.80691376
toots,0.80521884
sleazoid,0.80438777
negligence,0.80277915
lurk,0.80245677
effeminate,0.80192502
vokills,0.80171023
wacky,0.80163914
submissive,0.80138749
uppity,0.80082828
anorexic,0.80020255
grotesque,0.79830569
hammy,0.79749653
pettiness,0.79637633
mouthy,0.7959403
flamer,0.79526455
harlot,0.79520398
fuckoff,0.79510605
spack,0.79377432
pointless,0.79288188
malignant,0.79280349
artfag,0.79160679
puerile,0.79156959
monstrous,0.79138961
gimboid,0.79115486
snobbish,0.79026821
arsed,0.78986094
jigaboo,0.78872745
boaster,0.78820348
queer,0.78698259
boff,0.78519179
muppetry,0.78489145
henchman,0.78393561
stank,0.78387631
leer,0.78346163
deceiver,0.78269834
suicidal,0.78248207
swindler,0.78118151
cringe,0.78089472
shitter,0.77947343
cantankerous,0.77908849
laughable,0.77807155
fuckface,0.77712909
renegade,0.77679504
mucky,0.77631615
girlyman,0.77615973
hokum,0.77573506
crabby,0.77442302
pout,0.77370948
vicious,0.77359326
vapid,0.77320863
atrocious,0.77220016
dunce,0.77172613
menial,0.77151922
fuckdoll,0.7692732
ignoranus,0.76713197
damning,0.76523465
gippo,0.76521374
weeaboo,0.76395089
laziness,0.76255351
lech,0.76227668
crooked,0.76205019
goof,0.76169365
hobgoblin,0.76156466
nag,0.76113111
dilettante,0.76078804
slickster,0.76032546
fuckbrain,0.7592649
envy,0.75918272
paranoid,0.75889071
prissy,0.75842899
pindick,0.75832378
grouchy,0.75683198
spearchucker,0.75652743
dickster,0.75610765
envy,0.75594172
pisspot,0.75589485
slumlord,0.75524391
piffle,0.75496099
crapness,0.75475273
ham,0.75468352
frog,0.75259437
infuriating,0.75201354
savage,0.75141218
goddamned,0.7493977
dickweed,0.74939719
jerkwad,0.74881347
dumbarse,0.74713145
reprobate,0.74647741
recluse,0.74640945
cocky,0.74494556
grubby,0.74478633
squalor,0.74468839
undeserving,0.74379253
shitface,0.74360138
demagogue,0.7431994
mong,0.74318655
avaricious,0.74152144
reprobate,0.74135968
heathen,0.74023311
venomous,0.74010097
vomit,0.73822751
barmpot,0.73786774
airheaded,0.7366894
jit,0.73476515
sulky,0.73469826
whinge,0.73468279
intolerant,0.73392102
blundering,0.73368228
perversion,0.7335374
foppish,0.73311242
barbarous,0.73282612
neglectful,0.73234852
sinner,0.73207919
spoilt,0.73188842
toucha,0.7315584
despise,0.7311442
ginzo,0.73079888
jammy,0.73018961
maladroit,0.72988831
crunchie,0.7298157
shortarse,0.72952906
blabber,0.72860451
picky,0.728364
bashing,0.72831785
goit,0.72789083
gossipy,0.72739649
pervy,0.72666282
misbegotten,0.72663054
lamebrain,0.72422555
cursed,0.72343853
rampaging,0.72334614
sham,0.72319509
culchie,0.72265216
wastoid,0.72173474
fooking,0.72022463
foible,0.71965261
crony,0.71922772
goffel,0.71907761
187,0.71754986
cocksucking,0.71744975
abuser,0.71607338
treasonous,0.7150984
buttface,0.71447954
viciousness,0.71387081
bamma,0.71287332
dissolute,0.71286376
careerist,0.7108043
dicking,0.71077261
kooky,0.71035326
fuckshit,0.71032258
cynic,0.70993712
satanic,0.70990739
dope,0.70948028
creepy,0.70923192
mediocre,0.70864743
fucko,0.70854364
bullshitter,0.70779013
tong,0.70768923
genocidal,0.70764499
underling,0.70682965
orangie,0.70641512
sneer,0.70563612
niglet,0.70547817
grotty,0.70546446
bigotry,0.70458495
fascist,0.70326993
feminazi,0.70295675
voodoo,0.70131127
profane,0.70126518
carebear,0.70110784
slunt,0.70078146
mumble,0.70077958
freak,0.69877
cumskin,0.69820702
shits,0.69798447
seppuku,0.69766529
vileness,0.69728113
shitkicker,0.6971289
grin,0.69665791
pseudointellectual,0.69537976
mole,0.69521517
imposter,0.69510591
fook,0.6950067
frigging,0.69425741
fuckstick,0.69416447
troublemaker,0.69393986
cheat,0.69387239
fucknut,0.69362478
paleass,0.69285002
piddle,0.69280303
snook,0.69279243
wankster,0.69272739
dud,0.69272607
beast,0.69259453
emaciated,0.69191805
whorish,0.69163662
arsonist,0.69140278
subhuman,0.69113779
misanthropic,0.69063423
wankstain,0.69042099
wetback,0.68972185
suck,0.68965651
dickwad,0.68912829
vomitskin,0.68909664
pukeskin,0.68909664
scary,0.68872009
keeno,0.68827227
villainous,0.68797631
selfishness,0.687376
darkey,0.68694801
cumslut,0.68568218
psychobitch,0.68556262
skeezer,0.68401332
dothead,0.68239876
shitmuncher,0.68187689
sloppiness,0.6815148
clodpole,0.68142841
cocksucker,0.6807952
fuckload,0.68072693
snarky,0.68048754
gruesome,0.68038656
thundercunt,0.68032452
hoaxer,0.6796195
craphole,0.67878426
twazzock,0.67819811
swaggering,0.67762826
gibberish,0.67735486
plig,0.67722272
leer,0.67718184
dickbag,0.67612998
smear,0.67612149
underneath,0.67594291
wazzer,0.67561539
fuckery,0.67510364
ruthlessness,0.67506232
frogeater,0.67461877
sickly,0.67459727
oddball,0.67435639
hairyback,0.67266463
divvie,0.67198582
clod,0.67130931
dickfuck,0.6712292
masochistic,0.67100819
hobo,0.67100377
shagging,0.67051986
squaw,0.66965593
humping,0.66890629
douchewagon,0.66873843
doucheburger,0.66873843
douchecanoe,0.66873843
fuckpot,0.66867656
bizzie,0.6683818
trucker,0.66753269
snaggletooth,0.66752826
spotty,0.66714335
knob,0.66706031
blab,0.66635468
profiteer,0.66614531
scoff,0.66605169
cursing,0.66587424
cheapskate,0.6658434
cumshot,0.66550354
sore,0.6653438
retarded,0.66500985
skeeze,0.66487538
neurotic,0.66423003
bumfluff,0.66367897
stunod,0.66331956
exhibitionist,0.66323183
cockshit,0.66304649
boofhead,0.66296884
diabolic,0.66259758
nerdbrain,0.66236359
tormentor,0.66219804
wanky,0.6618785
shitbucket,0.66168722
fuckbucket,0.66168722
mindfuck,0.66100541
jerkface,0.66095973
tightass,0.66080697
feral,0.66017012
nastiness,0.65999185
slowcoach,0.65993135
spazmo,0.65979513
artfuck,0.65929311
fucklet,0.65915705
baldie,0.65911562
crook,0.65881324
lardass,0.6587834
fuzznut,0.65875708
